ipst,wallclock
icnk05010,2991.0
iclk02050,3370.0
iboe3lcyq,1097.0
ibh706dbq,56.0
idcn01dyq,64.0
idb80uroq,37.0
j8qu02030,154.0
ib91n9qdq,640.0
ics345p2q,366.0
icqa57010,1830.0
ic7465fyq,531.0
ib2k20nhq,192.0
ie1807010,2511.0
iaatb20b0,1690.0
idwl06xfq,532.0
oa9j02040,45.0
o5ao05030,65.0
idg264edq,233.0
idx703dhq,184.0
lbmxc3b5q,67.0
idwi42010,2534.0
ibu950010,1206.0
ibu9bid4q,1276.0
idy62uhlq,192.0
ibwva3fsq,95.0
icqu05060,206.0
ib9j0an2q,1434.0
idp41vkiq,813.0
ibu404ipq,163.0
ibztb3030,1898.0
ic6di1i0q,167.0
idc91u010,2040.0
idx5a4j2q,190.0
ids901020,1525.0
iche13n9q,235.0
o4nx06010,60.0
ics332iyq,1289.0
iac719ayq,39.0
ibwh10070,85.0
ibcr07htq,695.0
idf505mpq,62.0
icnl01050,2491.0
id9913dmq,367.0
obpw01080,35.0
idgg58030,1919.0
id9902uaq,59.0
ibjda2k3q,43.0
iciig0k1q,663.0
idp456oxq,539.0
idwg4g010,2060.0
oc84042o0,35.0
idme01xgq,42.0
ic1307uyq,1030.0
ie7l08u8q,167.0
iddc05jcq,398.0
idwc31dmq,200.0
idn016030,9533.0
idgq070c0,306.0
ie7x10a5q,60.0
ida970030,3000.0
idbha0030,311.0
ibtw04acq,53.0
ic5z10oiq,207.0
idov85dfq,35.0
idy630l5q,179.0
ibct96ayq,40.0
idp134vfq,1113.0
ibbsy1qwq,118.0
ibxa73k7q,185.0
icq1z2nmq,30.0
icpp04ltq,211.0
ic3f09040,2882.0
ice079luq,22.0
ibsq51g0q,473.0
id2f19p0q,1519.0
icwy02inq,37.0
id0ne4qgq,689.0
ie1952010,1543.0
ict902uiq,56.0
idpyc3etq,355.0
lbp413e0q,42.0
idci14mhq,1759.0
lbs314ooq,17.0
obkf200b0,37.0
o4dv01ueq,14.0
ibsx04030,5631.0
ib91lya4q,545.0
ibu315msq,34.0
idwg1t010,2279.0
ics341srq,1096.0
ie4n69040,2703.0
iefk54avq,525.0
ibc144ywq,585.0
ib3805v1q,142.0
idb791vnq,1002.0
icqx01txq,1287.0
ictn12h1q,114.0
id0d0fc9q,39.0
idy678x7q,173.0
icq180p2q,21.0
idg215hzq,307.0
idcw02cmq,242.0
icnk01010,2938.0
iedk48l8q,829.0
ic5w02esq,709.0
idj301xaq,60.0
idgq100a0,233.0
id2f32i9q,1423.0
lbxm1bupq,16.0
ibf718040,2185.0
id0p06j6q,35.0
icss02j3q,56.0
la9k03egq,24.0
idb608040,1943.0
idwf02mwq,161.0
j8ig05req,54.0
ibyk05xuq,217.0
icqa84010,1425.0
ocvs04c0q,19.0
icok07bfq,118.0
ibwf01eyq,1344.0
ibfh20040,2253.0
j8i0bhksq,2448.0
idms01weq,102.0
o4gm01020,65.0
iddl03izq,211.0
id3z01rfq,68.0
ic5lk1qlq,685.0
o44x33010,40.0
ic6m7jesq,200.0
idf503v7q,73.0
ibti03020,992.0
lbrj05foq,20.0
lb1v09nrq,9.0
ibuc53060,312.0
ic5m5v010,1634.0
ic5p03080,81.0
ib912k010,1265.0
ictn18n0q,1036.0
ibxb07020,1441.0
ibrl23h2q,661.0
idfr02cgq,954.0
idup41ejq,1064.0
icx706goq,200.0
ids0d0gdq,121.0
lce31xwpq,56.0
ibh714hdq,41.0
icii97epq,773.0
ic2857010,2830.0
ic74cpkgq,741.0
ieev04040,1249.0
j6lp02010,19181.0
id9o17uhq,55.0
ich312070,306.0
ic3t43mhq,1006.0
iby880020,143.0
ief705o1q,38.0
ocga06020,40.0
ibbst5siq,117.0
ic4484010,8089.0
idp121wpq,892.0
idl830010,1420.0
iedn28020,1119.0
ibsua3pfq,1083.0
idgq11080,365.0
icua94010,206.0
ibvt2atdq,51.0
icmd71020,403.0
idcd08ulq,155.0
id6i04040,2233.0
o44x49040,46.0
ie7y07010,188.0
icrv01020,845.0
ib4w03faq,133.0
icd601bmq,1408.0
idwo03ihq,221.0
j8i0cmu2q,1465.0
ib3509q0q,199.0
idq219010,1733.0
ic5s04070,317.0
icqr54v4q,879.0
id5g04030,3253.0
icq193hxq,24.0
id7656010,2152.0
ibwi02030,82.0
icaf02040,175.0
idut87doq,32.0
ic4103010,10878.0
idvw82010,2607.0
lbbd01guq,27.0
idbha2040,345.0
ides05020,956.0
icsr01kyq,60.0
ics456mbq,137.0
ie3o01020,2529.0
icvb12cqq,177.0
ib3513eyq,197.0
icpp24l1q,219.0
ie3b37020,255.0
ibbszjb3q,131.0
lb8s3mc3q,56.0
ieag98010,3118.0
ibfs05040,2445.0
oc8409bdq,14.0
ibls1uohq,50.0
idy405030,2270.0
iac762lbq,31.0
idx704liq,157.0
icr003dxq,784.0
o5hd61070,53.0
ic5lb1soq,780.0
idb850yuq,34.0
icvbb4fvq,121.0
icph7eovq,1084.0
ic3g05t6q,389.0
idj554020,2690.0
ibl970xmq,118.0
ico501jwq,38.0
ib1b79020,133.0
ic5p030c0,88.0
idp604dxq,3043.0
ids0c0huq,128.0
o5hkf10e0,50.0
lbmxh5ifq,62.0
ic5la3wiq,39.0
ieec67010,2216.0
ie37qaikq,113.0
idx203jjq,119.0
ib9j0amyq,1680.0
oc84042d0,31.0
icii67q9q,805.0
iciif4juq,718.0
ic3g14vpq,280.0
ibxa73k6q,192.0
lbji09h3q,19.0
idd401010,485.0
j8i0b8ebq,1833.0
ocv5b10g0,39.0
ibr701010,3105.0
ic6dl3q3q,128.0
idwf01ktq,193.0
idgbp0020,2914.0
iccx01010,559.0
icq93b010,1967.0
id2f14t8q,1592.0
ic6dl3qeq,184.0
ic7441fuq,164.0
iebjcw010,1044.0
iedk07c0q,503.0
ibtp16mkq,667.0
idwg03010,2216.0
ibc602v7q,973.0
idn403kbq,223.0
icqs12m3q,1535.0
ibxa61ifq,141.0
idc93qrxq,1067.0
id3z03aiq,65.0
ib91ow010,1659.0
iehr02lwq,706.0
j8q907140,108.0
ic5m51aaq,582.0
iecs43020,2948.0
ibxa82cjq,178.0
id0d78kyq,22.0
idpya8igq,389.0
ibu861a2q,23.0
icua96010,186.0
ibcd330d0,381.0
idb642030,2670.0
idb7a1qiq,1031.0
ib7794030,86.0
icxa01zlq,586.0
idov0lixq,39.0
iddt12040,1176.0
icck01020,678.0
idvz12d1q,1619.0
o4an020c0,58.0
idb820ijq,30.0
icqa0p010,1853.0
ib1b0qzdq,176.0
ib9158k3q,419.0
ib3511ezq,193.0
lcdr23o3q,18.0
idhd10030,7662.0
icii90jwq,788.0
idp161e0q,970.0
idb751dcq,1117.0
ic8x21040,2765.0
icq150etq,34.0
lbhx0sdxq,22.0
idpya8ibq,345.0
ibu521ljq,64.0
ib91a7hqq,715.0
ibwk04c1q,31.0
ib2k71iwq,188.0
oc1f01020,38.0
ie6x47esq,898.0
ictd36010,1739.0
icdx34010,1866.0
o56302050,94.0
idy60ukoq,150.0
icdx7z010,2934.0
idot3s010,1962.0
iaaue10e0,243.0
j8i0a8bdq,1834.0
iby712010,1752.0
iblk80roq,2538.0
idda02arq,196.0
idwg2l010,2325.0
ibl906vrq,515.0
ibvi50czq,44.0
ie3y02040,5648.0
ic2m05ezq,172.0
idjo06bgq,384.0
id0i3i010,1944.0
icpf23h2q,407.0
ibh708s3q,47.0
iac750wvq,35.0
icpp04lsq,221.0
iby81q010,137.0
ib9j52uxq,1249.0
idy60sitq,139.0
iblk0admq,3070.0
la8m02oxq,77.0
ief714i3q,39.0
o5dh01090,57.0
iecs41ogq,834.0
ie0l26rtq,51.0
id2f32ieq,1538.0
iduv10030,59.0
ib4a55010,2047.0
idxr17040,2966.0
idp610k4q,1167.0
ie1c3xlmq,390.0
iac719azq,21.0
ibf2a8weq,1137.0
o6fn01caq,18.0
ib5205010,206.0
ib2k36yyq,166.0
ocv5c10f0,32.0
ie0g01010,383.0
iehl06syq,178.0
idy611hdq,191.0
iege160e0,232.0
lcao93qwq,33.0
o5cx030i0,59.0
j9irw3fcq,1547.0
ibtm8bkfq,686.0
o42354020,70.0
ic6m0h010,1110.0
ibucb5bnq,70.0
icdx2c010,2454.0
ic6xb1010,1533.0
ib3n01040,1604.0
icft75010,1810.0
lb8r3ic6q,43.0
ie4t08030,2044.0
ib91nl010,628.0
ic5t02ckq,101.0
lbk201odq,42.0
o58504030,42.0
idwg83z8q,512.0
ibvi36bmq,22.0
ib911nnxq,674.0
ie194d010,2562.0
ie1957a8q,1009.0
o55q06010,58.0
ida908kdq,1015.0
lbx806d5q,36.0
ic6m6ha5q,156.0
icdm76050,2077.0
id7613010,2188.0
idan85020,4900.0
ie8d04rqq,408.0
idux35ewq,2199.0
ibld88asq,36.0
ieib02xkq,115.0
icc502050,1377.0
ibol05fxq,206.0
j9i413bnq,33.0
ibhj70040,182.0
ib4v21gmq,317.0
j8c1030g0,54.0
ibwk04c4q,43.0
idy62dhhq,92.0
ibxa32dpq,159.0
ib3806vnq,169.0
idr103f7q,227.0
idkv35010,567.0
iccz78svq,28.0
ibxa75lmq,190.0
ic5ld4vkq,764.0
ibwk04awq,30.0
j8i0ani3q,2001.0
o5ew08030,63.0
labo01030,120.0
ie9m09d3q,1375.0
ic9t39heq,116.0
ib917ks3q,361.0
ib91gn010,750.0
icr311zlq,199.0
icii55elq,695.0
o5fx2y020,41.0
idy639k7q,164.0
iciw03060,584.0
ibs301040,1981.0
idda11cvq,71.0
iciia1ieq,783.0
id9906z8q,482.0
ief746w2q,39.0
idwi0x010,2338.0
icqa0s010,2033.0
icq962xbq,869.0
icd011cdq,94.0
ib2k0pa5q,73.0
iciid1i8q,716.0
ic6da8cvq,120.0
ibwn02veq,65.0
ie0d65kzq,38.0
ib2k04qgq,177.0
ibu513prq,1885.0
ibvt1al8q,454.0
idn402jzq,169.0
la8q940h0,11.0
iaau53xtq,1100.0
ibh714hlq,28.0
ie3w05030,2088.0
idx203jpq,102.0
idwe01010,3299.0
idyz05gsq,238.0
ie7l10lzq,102.0
j9irw5joq,1547.0
iac50cpeq,1350.0
idok06kdq,3437.0
iegk59ycq,570.0
i9zf11010,130.0
id0o14tpq,162.0
jcrf01gbq,90.0
ibxe54l1q,55.0
ic6xbvu8q,812.0
ics404cnq,152.0
idy60lbfq,136.0
iegk52gjq,746.0
icfdf4dcq,1551.0
idus30blq,170.0
idp050maq,2483.0
ibjdb1f7q,44.0
icdm62030,1761.0
ib2k72k1q,191.0
ic5za5j3q,206.0
ibf2b3030,1827.0
ibwjgnafq,913.0
ic8v10glq,201.0
idp052l4q,1718.0
idy61bxxq,86.0
ie0l36i6q,208.0
ieg810w7q,2802.0
ie0l03jkq,540.0
iby703010,1690.0
ibjg09biq,201.0
idx701qtq,178.0
id0i3w010,1850.0
ib3d19010,1014.0
ic7p07030,620.0
j6fy07020,261.0
iby81tfsq,75.0
ichb02020,2653.0
idp530a6q,178.0
ie7y08030,182.0
ibu604clq,962.0
ibwi03090,79.0
ib9j24szq,1702.0
ics303drq,725.0
ics327m1q,1071.0
ic4920wsq,47.0
ie1u10030,373.0
icq10lo0q,38.0
iboe6rm4q,1113.0
ieag98i0q,200.0
lccl22tuq,44.0
idms04ioq,96.0
icok12voq,170.0
ib913e010,446.0
ic5m58010,1733.0
ibld79g0q,22.0
ie7h07060,317.0
icdm62050,2188.0
ib91g0010,1023.0
id8027mtq,1674.0
ictn08010,259.0
ie0l26rmq,63.0
idp539wuq,131.0
ibtx41fjq,898.0
ie7h030e0,339.0
idx5a1hnq,208.0
icpw1r010,1791.0
icmdp9050,296.0
ibc121yeq,448.0
id2c04gxq,173.0
ice084rgq,36.0
icii15rlq,770.0
id5o37010,4667.0
iby818010,110.0
lb6507t5q,19.0
iegj37010,1445.0
ie1c2w010,2066.0
laa110030,49.0
ie1926010,2478.0
iehl08v2q,147.0
ib91d7wbq,662.0
lbb911zjq,17.0
idy62uhkq,103.0
ich3050d0,299.0
ibbsa0kmq,233.0
j9i413b8q,33.0
ibvi91caq,46.0
o4lyee020,51.0
icrn12020,45.0
ie7h09070,342.0
idxb37010,2491.0
iddj03iuq,227.0
ic1393010,3879.0
ib91at010,428.0
ic6m1q010,1685.0
iefk11ipq,639.0
o5c901070,78.0
ichl01k4q,82.0
ibsr02030,2190.0
ibeo66rwq,1109.0
icpw1o010,1389.0
icr895hsq,2213.0
iaan09ohq,1117.0
idwi1w010,2471.0
icir10aiq,728.0
icdm18070,2919.0
