dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files,ipst
1,9.0,0,0,2,0.15019368112963088,0,0,0.6529,0,1,133.0,9,1620740441,1.975929531274675,j8r206020
0,9.2,1,0,0,0.16239017376619205,0,0,0.337,3,1,20.68,1,1620740441,-2.645915164521277,ibh706gaq
1,68.7,0,1,1,1.2926871619270794,1,0,1.65,0,1,3736.0,3,1620740441,0.6765321553240086,j8di73020
0,2.0,0,0,2,-0.6134846679631814,0,0,0.48113999999999996,0,1,40.0,2,1620740441,-0.28988624880095043,j8ig01hmq
0,34.0,0,1,2,0.8994476926639713,1,1,2.042896,0,1,1813.0,2,1620740441,-0.28988624880095043,j8i0c6w2q
0,1.0,0,0,0,-0.8807389346057599,0,0,1.518384,1,0,87.0,3,1620740441,0.6765321553240086,la7x01cwq
0,34.0,0,1,2,0.8994476926639713,1,1,2.044248,0,1,1913.0,2,1620740441,-0.28988624880095043,j8i0anhmq
0,0.0,1,0,0,-1.3498008528204737,0,0,0.45504399999999995,1,0,18.0,2,1620740441,-0.28988624880095043,la9k01xhq
0,19.0,1,0,0,0.5702986985030943,0,0,0.526908,1,0,90.0,2,1620740441,-0.28988624880095043,la8126fcq
1,17.0,1,1,2,0.5073363978535426,1,0,1.273484,3,1,435.0,5,1620740441,1.4770334018512739,icdb88050
0,35.0,0,0,0,0.9157849723713207,0,0,0.613784,3,0,51.0,2,1620740441,-0.28988624880095043,ibcu3kkxq
0,1.0,1,0,0,-0.8807389346057599,0,0,0.4566560000000001,1,0,24.0,2,1620740441,-0.28988624880095043,la9k03cfq
0,0.0,0,0,0,-1.3498008528204737,0,0,0.45422399999999996,1,0,14.0,2,1620740441,-0.28988624880095043,labp04l6q
0,34.0,0,1,2,0.8994476926639713,1,1,2.04604,0,1,1252.0,2,1620740441,-0.28988624880095043,j8i0b0npq
0,0.0,0,0,0,-1.3498008528204737,0,0,0.455276,1,0,15.0,2,1620740441,-0.28988624880095043,labo95pnq
0,34.0,0,1,2,0.8994476926639713,1,1,2.0441119999999997,0,1,1329.0,2,1620740441,-0.28988624880095043,j8i0b6ciq
1,1.0,1,0,0,-0.8807389346057599,0,0,1.13,3,1,32.0,3,1620740441,0.6765321553240086,iaac210o0
0,1.0,0,0,0,-0.8807389346057599,0,0,1.518132,1,0,62.0,3,1620740441,0.6765321553240086,la7x01cfq
0,34.0,0,1,2,0.8994476926639713,1,1,2.060928,0,1,1748.0,2,1620740441,-0.28988624880095043,j8i0cpzhq
1,5.0,0,0,2,-0.16845467628818533,0,0,0.5350239999999999,0,1,68.0,5,1620740441,1.4770334018512739,j8qo15040
1,69.0,0,1,2,1.2950985180271455,1,1,2.79486,0,1,3583.0,5,1620740441,1.4770334018512739,j8r008020
0,0.0,0,0,0,-1.3498008528204737,0,0,0.46213999999999994,1,0,23.0,2,1620740441,-0.28988624880095043,laa109kjq
1,5.0,1,1,2,-0.16845467628818533,1,0,1.181236,3,1,300.0,5,1620740441,1.4770334018512739,icdb88030
0,0.0,1,0,0,-1.3498008528204737,0,0,0.45464399999999994,1,0,14.0,2,1620740441,-0.28988624880095043,laa005kyq
0,24.0,0,0,0,0.7026029302238583,0,0,0.583648,3,1,54.0,2,1620740441,-0.28988624880095043,ib2k0tbuq
0,35.0,0,0,0,0.9157849723713207,0,0,0.611332,3,0,43.0,2,1620740441,-0.28988624880095043,ibcu0cp5q
0,0.0,0,0,0,-1.3498008528204737,0,0,0.461188,1,0,22.0,2,1620740441,-0.28988624880095043,la9t24i0q
0,2.3,0,0,1,-0.5514123049645293,0,0,1.0,2,0,16.0,1,1620740441,-2.645915164521277,o3sk01kxq
0,1.0,1,0,0,-0.8807389346057599,0,0,0.45518800000000004,1,0,17.0,2,1620740441,-0.28988624880095043,la9k02acq
