ipst,dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files
ibfy01aoq,0,9,1,1,2,0.09506200417781331,1,0,1.260008,3,1,273,2,1620740441,-0.7780152036830672
j8r024010,1,69,0,1,2,1.3470427631721529,1,1,2.826272,0,1,3556,5,1620740441,1.0921440788857568
lb1v10rrq,0,0,0,0,0,-1.6157022275450914,0,0,0.454564,1,0,11,2,1620740441,-0.7780152036830672
ib8d0dcaq,0,33,0,0,0,0.9015340605688835,0,0,0.649612,3,1,90,2,1620740441,-0.7780152036830672
la7t03u6q,0,1,1,0,0,-1.0724141621312375,0,0,0.455916,1,0,17,2,1620740441,-0.7780152036830672
ico501mnq,0,4,1,0,0,-0.3922108615141664,0,0,0.475372,3,1,39,2,1620740441,-0.7780152036830672
laa005n0q,0,0,0,0,0,-1.6157022275450914,0,0,0.45506,1,0,16,2,1620740441,-0.7780152036830672
j8i0cosjq,0,34,0,1,2,0.919839605356715,1,1,2.043968,0,1,2114,2,1620740441,-0.7780152036830672
lb3e47lrq,0,0,0,0,0,-1.6157022275450914,0,0,0.463024,1,0,26,2,1620740441,-0.7780152036830672
lb3z09n8q,0,0,0,0,0,-1.6157022275450914,0,0,0.4626520000000001,1,0,22,2,1620740441,-0.7780152036830672
la7t03taq,0,1,1,0,0,-1.0724141621312375,0,0,0.455224,1,0,22,2,1620740441,-0.7780152036830672
lb3y01bhq,0,0,0,0,0,-1.6157022275450914,0,0,0.454588,1,0,9,2,1620740441,-0.7780152036830672
j8r016020,1,69,0,1,2,1.3470427631721529,1,1,2.8129880000000003,0,1,2606,5,1620740441,1.0921440788857568
laa103rlq,0,0,1,0,0,-1.6157022275450914,0,0,0.45586,1,0,13,2,1620740441,-0.7780152036830672
j8dk02020,1,68.7,0,1,1,1.3444568652460058,1,1,1.85,0,1,3998,3,1620740441,0.2397118177539458
j6fl22020,1,4.5,0,0,2,-0.32384737376731604,0,0,0.44,0,1,68,3,1620740441,0.2397118177539458
ibcj07dvq,0,24,0,0,0,0.7051335898518772,0,0,0.584648,3,1,91,2,1620740441,-0.7780152036830672
lb1407byq,0,9,1,0,0,0.09506200417781331,0,0,0.455068,1,0,16,2,1620740441,-0.7780152036830672
la9k03zhq,0,0,1,0,0,-1.6157022275450914,0,0,0.45518,1,0,23,2,1620740441,-0.7780152036830672
labm01c3q,0,0,0,0,0,-1.6157022275450914,0,0,0.454396,1,0,15,2,1620740441,-0.7780152036830672
j8i0bmr7q,0,34,0,1,2,0.919839605356715,1,1,2.046404,0,1,1439,2,1620740441,-0.7780152036830672
j8qu06030,1,13.6,0,0,1,0.35161633851093954,0,2,9.52,0,1,241,7,1620740441,1.4459577508481383
j8i0b8g6q,0,34,0,1,2,0.919839605356715,1,1,2.044112,0,1,2102,2,1620740441,-0.7780152036830672
ico801zjq,0,1,1,1,2,-1.0724141621312375,1,0,1.114228,3,1,107,2,1620740441,-0.7780152036830672
la9k03akq,0,0,1,0,0,-1.6157022275450914,0,0,0.454956,1,0,23,2,1620740441,-0.7780152036830672
lb2a05gmq,0,0,0,0,0,-1.6157022275450914,0,0,0.462092,1,0,26,2,1620740441,-0.7780152036830672
ia2s16020,1,127.6,0,0,0,1.7057570091399155,0,0,0.52,3,1,205,5,1620740441,1.0921440788857568
j8i0ajcnq,0,34,0,1,2,0.919839605356715,1,1,2.102216,0,1,1393,2,1620740441,-0.7780152036830672
ibg001fgq,0,1,1,1,2,-1.0724141621312375,1,0,1.112284,3,1,143,2,1620740441,-0.7780152036830672
j6fl5bmiq,0,34.3,0,1,1,0.9252225381380749,1,0,1.46,0,1,1833,1,1620740441,-3.2299932216233636
j8qu07030,1,14,0,0,2,0.3696900149665785,0,0,0.7855840000000001,0,1,142,13,1620740441,1.8148625602026758
ico801zvq,0,1,1,1,2,-1.0724141621312375,1,0,1.11444,3,1,115,2,1620740441,-0.7780152036830672
j8qo29010,1,9,0,0,2,0.09506200417781331,0,0,0.685376,0,1,171,9,1620740441,1.6313035653743424
j8ig01hkq,0,2,0,0,2,-0.7662158670999736,0,0,0.481616,0,1,37,2,1620740441,-0.7780152036830672
labo02020,1,0.7,0,0,0,-1.1975208939635544,0,0,1.01,1,0,65,2,1620740441,-0.7780152036830672
j8i0b9q9q,0,34,0,1,2,0.919839605356715,1,1,2.04462,0,1,1779,2,1620740441,-0.7780152036830672
lb3f03iuq,0,9,1,0,0,0.09506200417781331,0,0,0.45524,1,0,11,2,1620740441,-0.7780152036830672
j8i0b5tjq,0,34,0,1,2,0.919839605356715,1,1,2.0442720000000003,0,1,2444,2,1620740441,-0.7780152036830672
ico501mmq,0,4,1,0,0,-0.3922108615141664,0,0,0.47698,3,1,31,2,1620740441,-0.7780152036830672
j8i0c0p3q,0,34,0,1,2,0.919839605356715,1,1,2.064828,0,1,2358,2,1620740441,-0.7780152036830672
j8i0bfj3q,0,34,0,1,2,0.919839605356715,1,1,2.045096,0,1,1950,2,1620740441,-0.7780152036830672
ldncd2060,1,0.1,0,0,0,-1.5394799101989651,0,1,2.09,1,0,241,2,1620740441,-0.7780152036830672
ibeuhzoaq,0,30,0,0,0,0.8429606794740215,0,0,0.554844,3,1,51,2,1620740441,-0.7780152036830672
ldxe49010,1,0.5,0,0,0,-1.2948126187674407,0,1,2.1,1,0,140,5,1620740441,1.0921440788857568
laa110glq,0,0,0,0,0,-1.6157022275450914,0,0,0.462112,1,0,22,2,1620740441,-0.7780152036830672
j8q805020,1,138,0,1,2,1.750568425712719,1,1,4.19736,0,1,5350,9,1620740441,1.6313035653743424
lb1o27ggq,0,9,1,0,0,0.09506200417781331,0,0,0.455372,1,0,11,2,1620740441,-0.7780152036830672
iabf02k2q,0,35,0,0,0,0.9375950901966635,0,0,0.66764,3,1,97,2,1620740441,-0.7780152036830672
lb3f02aiq,0,0,0,0,0,-1.6157022275450914,0,0,0.454304,1,0,11,2,1620740441,-0.7780152036830672
ldqj55080,1,0.2,0,0,0,-1.4703219745397793,0,1,2.09,1,0,66,2,1620740441,-0.7780152036830672
labo06xtq,0,0,0,0,0,-1.6157022275450914,0,0,0.4616,1,0,26,2,1620740441,-0.7780152036830672
j8ivb1riq,0,1,1,1,2,-1.0724141621312375,0,0,0.463264,0,1,32,2,1620740441,-0.7780152036830672
la8k01exq,0,0,1,0,0,-1.6157022275450914,0,0,0.45586,1,0,24,2,1620740441,-0.7780152036830672
la8p01gaq,0,0,0,0,0,-1.6157022275450914,0,0,0.454484,1,0,12,2,1620740441,-0.7780152036830672
j8i0boivq,0,34,0,1,2,0.919839605356715,1,1,2.045088,0,1,1799,2,1620740441,-0.7780152036830672
laa005o4q,0,9,1,0,0,0.09506200417781331,0,0,0.455336,1,0,15,2,1620740441,-0.7780152036830672
j8i0bbqmq,0,34,0,1,2,0.919839605356715,1,1,2.076468,0,1,1836,2,1620740441,-0.7780152036830672
la8k03gfq,0,1,1,0,0,-1.0724141621312375,0,0,0.4557520000000001,1,0,19,2,1620740441,-0.7780152036830672
ico501lvq,0,4,1,0,0,-0.3922108615141664,0,0,0.47172,3,1,38,2,1620740441,-0.7780152036830672
labo95pqq,0,0,0,0,0,-1.6157022275450914,0,0,0.4550520000000001,1,0,13,2,1620740441,-0.7780152036830672
j8i0bjxpq,0,34,0,1,2,0.919839605356715,1,1,2.04428,0,1,2067,2,1620740441,-0.7780152036830672
j8i0c0psq,0,34,0,1,2,0.919839605356715,1,1,2.0743720000000003,0,1,2264,2,1620740441,-0.7780152036830672
laa005nwq,0,0,0,0,0,-1.6157022275450914,0,0,0.454516,1,0,13,2,1620740441,-0.7780152036830672
lb1o12ljq,0,0,0,0,0,-1.6157022275450914,0,0,0.454952,1,0,14,2,1620740441,-0.7780152036830672
j8ola3020,1,137.4,0,1,1,1.748081920408613,1,2,10.97,0,1,29591,5,1620740441,1.0921440788857568
ibh714znq,0,0.5,1,0,0,-1.2948126187674407,0,0,0.282,3,1,16.6,1,1620740441,-3.2299932216233636
j8hoo2pkq,0,34,0,1,2,0.919839605356715,1,0,0.6973520000000001,0,1,739,2,1620740441,-0.7780152036830672
j8i0akxbq,0,34,0,1,2,0.919839605356715,1,1,2.043836,0,1,1782,2,1620740441,-0.7780152036830672
ibcu1qi5q,0,4,1,0,0,-0.3922108615141664,0,0,0.462868,3,0,17,2,1620740441,-0.7780152036830672
ibg001aeq,0,1,1,1,2,-1.0724141621312375,1,0,1.111984,3,1,136,2,1620740441,-0.7780152036830672
ibug26010,1,104.7,0,1,1,1.591706301743819,1,2,9.28,3,1,3848,4,1620740441,0.7728496207883843
ia2t31knq,0,35,0,0,0,0.9375950901966635,0,0,0.667324,3,1,95,2,1620740441,-0.7780152036830672
la8015dnq,0,3,1,0,0,-0.5539994961835305,0,0,0.456116,1,0,27,2,1620740441,-0.7780152036830672
la9x04e4q,0,0,0,0,0,-1.6157022275450914,0,0,0.455316,1,0,9,2,1620740441,-0.7780152036830672
la9k02clq,0,1,1,0,0,-1.0724141621312375,0,0,0.45516,1,0,16,2,1620740441,-0.7780152036830672
lb1406njq,0,9,1,0,0,0.09506200417781331,0,0,0.455412,1,0,10,2,1620740441,-0.7780152036830672
j8i0bgoiq,0,34,0,1,2,0.919839605356715,1,1,2.044012,0,1,1744,2,1620740441,-0.7780152036830672
labq70pzq,0,0,0,0,0,-1.6157022275450914,0,0,0.454792,1,0,18,2,1620740441,-0.7780152036830672
j8rq13020,1,138,0,1,2,1.750568425712719,1,1,4.2811,0,1,4348,9,1620740441,1.6313035653743424
labn010d0,1,0.1,0,0,0,-1.5394799101989651,0,0,1.1,1,0,58,2,1620740441,-0.7780152036830672
j8i0b6cbq,0,34,0,1,2,0.919839605356715,1,1,2.043028,0,1,1983,2,1620740441,-0.7780152036830672
ibcf30keq,0,1,1,0,0,-1.0724141621312375,0,0,0.457016,3,1,27,2,1620740441,-0.7780152036830672
ibcf0aiiq,0,4,1,0,0,-0.3922108615141664,0,0,0.4768560000000001,3,1,25,2,1620740441,-0.7780152036830672
la9r02dfq,0,0,0,0,0,-1.6157022275450914,0,0,0.462804,1,0,21,2,1620740441,-0.7780152036830672
j8i0a3dwq,0,34,0,1,2,0.919839605356715,1,1,2.078512,0,1,1656,2,1620740441,-0.7780152036830672
j8i0a5m4q,0,34,0,1,2,0.919839605356715,1,1,2.076996,0,1,1697,2,1620740441,-0.7780152036830672
lb1s05l4q,0,9,1,0,0,0.09506200417781331,0,0,0.455616,1,0,15,2,1620740441,-0.7780152036830672
laa109jgq,0,0,0,0,0,-1.6157022275450914,0,0,0.461596,1,0,22,2,1620740441,-0.7780152036830672
lb2a03hcq,0,0,0,0,0,-1.6157022275450914,0,0,0.461936,1,0,18,2,1620740441,-0.7780152036830672
laa109jkq,0,0,0,0,0,-1.6157022275450914,0,0,0.461692,1,0,25,2,1620740441,-0.7780152036830672
la9k03dgq,0,0,1,0,0,-1.6157022275450914,0,0,0.455856,1,0,19,2,1620740441,-0.7780152036830672
ib8e63kkq,0,22,0,0,0,0.6511675506647073,0,0,0.578056,3,1,72,2,1620740441,-0.7780152036830672
la8k02d5q,0,0,0,0,0,-1.6157022275450914,0,0,1.510344,1,0,104,3,1620740441,0.2397118177539458
laa109k7q,0,0,0,0,0,-1.6157022275450914,0,0,0.462452,1,0,22,2,1620740441,-0.7780152036830672
iabg03c2q,0,35,0,0,0,0.9375950901966635,0,0,0.619536,3,0,61,2,1620740441,-0.7780152036830672
la9k01vmq,0,1,1,0,0,-1.0724141621312375,0,0,0.455696,1,0,20,2,1620740441,-0.7780152036830672
j8ig05roq,0,2,0,0,0,-0.7662158670999736,0,0,0.480076,0,1,56,4,1620740441,0.7728496207883843
ib2k89mgq,0,24,0,0,0,0.7051335898518772,0,0,0.583824,3,1,55,2,1620740441,-0.7780152036830672
ico501lrq,0,4,1,0,0,-0.3922108615141664,0,0,0.474904,3,1,39,2,1620740441,-0.7780152036830672
j8cf01boq,0,2.3,0,0,1,-0.6954500398762936,0,0,1.12,0,1,21,1,1620740441,-3.2299932216233636
la8m01kwq,0,1,0,0,0,-1.0724141621312375,0,0,1.509416,1,0,95,3,1620740441,0.2397118177539458
ibe531dxq,0,5,1,0,0,-0.2618199013465426,0,0,0.469976,3,0,17,2,1620740441,-0.7780152036830672
